voice,utterance,take,conversation_id,recorded_utc,track,transcript,path,sample_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited
SarenneClone_GUI2,"Hey, can you hear me?",3,conv_2401m0wcrp27fzs9x1hvdnkw4cnk,2026-08-25 12:01:51+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/SarenneClone_GUI2_hey-can-you-hear-me_take3.wav,16000,1.62,1.16,2.16,0.31,0.15,-20.55,-23.0,-2.45,-11.55,lufs,False
SarenneClone_GUI2,"Hey, how are you?",1,conv_8201m0wcq523efns9jb525h9x085,2026-08-25 12:01:00+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/SarenneClone_GUI2_hey-how-are-you_take1.wav,16000,1.584,1.12,2.12,0.33,0.134,-17.82,-23.0,-5.18,-10.21,lufs,False
SarenneClone_GUI2,"Hey, how are you?",2,conv_8801m0wcqdqffgk8psbef4a33248,2026-08-25 12:01:09+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/SarenneClone_GUI2_hey-how-are-you_take2.wav,16000,1.764,1.34,2.34,0.31,0.114,-19.18,-23.0,-3.82,-10.76,lufs,False
SarenneClone_GUI2,"Hey, how are you?",3,conv_1901m0wcqp94ezwtrwtaq8g76nkm,2026-08-25 12:01:18+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/SarenneClone_GUI2_hey-how-are-you_take3.wav,16000,2.052,1.44,2.44,0.25,0.362,-18.76,-23.0,-4.24,-8.31,lufs,False
SarenneClone_GUI2,"Just reading the instructions, I think I am the interviewer for this chat.",1,conv_3501m0wcns8cenyrdp4465s9aej4,2026-08-25 12:00:16+00:00,response_audio,"Just reading the instructions, I think I am the interviewer for this chat.",export/voice_stimuli/SarenneClone_GUI2_just-reading-the-instructions-i_take1.wav,16000,4.176,3.78,4.78,0.31,0.086,-20.0,-23.0,-3.0,-4.35,lufs,False
SarenneClone_GUI2,"Just reading the instructions, I think I am the interviewer for this chat.",2,conv_7301m0wcp624fvxb64pqav39p5f4,2026-08-25 12:00:29+00:00,response_audio,"Just reading the instructions, I think I am the interviewer for this chat.",export/voice_stimuli/SarenneClone_GUI2_just-reading-the-instructions-i_take2.wav,16000,3.636,3.18,4.18,0.27,0.186,-20.19,-23.0,-2.81,-4.91,lufs,False
SarenneClone_GUI2,"Just reading the instructions, I think I am the interviewer for this chat.",3,conv_2701m0wcpg94e2p9c4q2m9say7ej,2026-08-25 12:00:39+00:00,response_audio,"Just reading the instructions, I think I am the interviewer for this chat.",export/voice_stimuli/SarenneClone_GUI2_just-reading-the-instructions-i_take3.wav,16000,4.788,4.1,5.1,0.33,0.358,-22.51,-23.0,-0.49,-5.16,lufs,False
ChrisClone_ULNN,"Hey, can you hear me?",1,conv_2201m0wdqd99e7qs9va3e38dseta,2026-08-25 12:18:37+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ChrisClone_ULNN_hey-can-you-hear-me_take1.wav,16000,1.44,0.96,1.96,0.37,0.11,-17.91,-23.0,-5.09,-6.45,lufs,False
ChrisClone_ULNN,"Hey, can you hear me?",2,conv_6301m0wdqn73eh49jqggyg7wtd26,2026-08-25 12:18:46+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ChrisClone_ULNN_hey-can-you-hear-me_take2.wav,16000,1.26,0.86,1.86,0.27,0.13,-13.64,-23.0,-9.36,-9.89,lufs,False
ChrisClone_ULNN,"Hey, can you hear me?",3,conv_1801m0wdqvhfek684x2f57cxgmez,2026-08-25 12:18:52+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ChrisClone_ULNN_hey-can-you-hear-me_take3.wav,16000,1.728,1.16,2.16,0.31,0.258,-13.73,-23.0,-9.27,-9.74,lufs,False
