voice,utterance,take,conversation_id,recorded_utc,track,transcript,path,sample_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited
SarenneClone,"Hey, how are you?",3,conv_8501m1h589v3e05bsmm7e97rjn96,2026-09-02 13:34:37+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/SarenneClone_hey-how-are-you_take3.wav,16000,2.088,1.58,2.58,0.19,0.318,-21.8,-23.0,-1.2,-9.3,lufs,False
SarenneClone,"Just reading the instructions, I think I'm the interviewer for this chat.",1,conv_3001m1h5tr0negbba0ydbnf0jp3z,2026-09-02 13:44:41+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/SarenneClone_just-reading-the-instructions-i_take1.wav,16000,3.564,3.24,4.24,0.21,0.114,-28.81,-23.0,5.81,-4.46,lufs,False
SarenneClone,"Just reading the instructions, I think I'm the interviewer for this chat.",2,conv_7801m1h5v19yfh7v657v5jzhrykq,2026-09-02 13:44:51+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/SarenneClone_just-reading-the-instructions-i_take2.wav,16000,3.528,3.2,4.2,0.21,0.118,-23.36,-23.0,0.36,-5.09,lufs,False
SarenneClone,"Just reading the instructions, I think I'm the interviewer for this chat.",3,conv_8101m1h5v7dvexas3dk2fdzgqvck,2026-09-02 13:44:57+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/SarenneClone_just-reading-the-instructions-i_take3.wav,16000,3.348,2.92,3.92,0.25,0.178,-19.49,-23.0,-3.51,-6.23,lufs,False
ChrisClone_LongNN,"Hey, can you hear me?",1,conv_8901m1h9wzvkevctwcb3ehaxv38j,2026-09-02 14:55:49+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/ChrisClone_LongNN_hey-can-you-hear-me_take1.wav,16000,1.584,1.08,2.08,0.19,0.314,-17.04,-23.0,-5.96,-8.24,lufs,False
ChrisClone_LongNN,"Hey, can you hear me?",2,conv_7501m1h9x4kef56813jdy4br7hrc,2026-09-02 14:55:54+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/ChrisClone_LongNN_hey-can-you-hear-me_take2.wav,16000,1.26,0.9,1.9,0.21,0.15,-14.83,-23.0,-8.17,-8.79,lufs,False
ChrisClone_LongNN,"Hey, can you hear me?",3,conv_5301m1h9x83deh1rag9a8kpt0y8j,2026-09-02 14:55:58+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/ChrisClone_LongNN_hey-can-you-hear-me_take3.wav,16000,1.548,0.96,1.96,0.19,0.398,-18.06,-23.0,-4.94,-7.99,lufs,False
ChrisClone_LongNN,"Hey, how are you?",1,conv_4501m1h5938hf3kr8mgyy90nx80p,2026-09-02 13:35:03+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/ChrisClone_LongNN_hey-how-are-you_take1.wav,16000,1.764,1.34,2.34,0.17,0.254,-19.23,-23.0,-3.77,-7.87,lufs,False
ChrisClone_LongNN,"Hey, how are you?",2,conv_5901m1h599djfyfbxk7ncs9njvgf,2026-09-02 13:35:09+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/ChrisClone_LongNN_hey-how-are-you_take2.wav,16000,1.476,1.04,2.04,0.19,0.246,-15.6,-23.0,-7.4,-9.06,lufs,False
ChrisClone_LongNN,"Hey, how are you?",3,conv_7301m1h59ee6fxbrma9dqw10wn7m,2026-09-02 13:35:14+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/ChrisClone_LongNN_hey-how-are-you_take3.wav,16000,1.332,0.9,1.9,0.21,0.222,-15.37,-23.0,-7.63,-9.21,lufs,False
ChrisClone_LongNN,"Just reading the instructions, I think I'm the interviewer for this chat.",1,conv_6601m1h5vz5bezsagshkww12pjq4,2026-09-02 13:45:21+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/ChrisClone_LongNN_just-reading-the-instructions-i_take1.wav,16000,3.96,3.38,4.38,0.31,0.27,-17.96,-23.0,-5.04,-8.1,lufs,False
ChrisClone_LongNN,"Just reading the instructions, I think I'm the interviewer for this chat.",2,conv_3001m1h5w5vmej0afse6apzstk4p,2026-09-02 13:45:28+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/ChrisClone_LongNN_just-reading-the-instructions-i_take2.wav,16000,3.852,3.4,4.4,0.21,0.242,-17.54,-23.0,-5.46,-7.94,lufs,False
ChrisClone_LongNN,"Just reading the instructions, I think I'm the interviewer for this chat.",3,conv_6501m1h5wcezevcvaj8r4smd16nr,2026-09-02 13:45:35+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/ChrisClone_LongNN_just-reading-the-instructions-i_take3.wav,16000,4.428,4.08,5.08,0.25,0.098,-17.11,-23.0,-5.89,-7.04,lufs,False
ChrisClone_GUI3,"Hey, can you hear me?",1,conv_8001m1h9xv5semvtfyw4zsn8pyt1,2026-09-02 14:56:17+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/ChrisClone_GUI3_hey-can-you-hear-me_take1.wav,16000,1.368,1.0,2.0,0.17,0.198,-20.69,-23.0,-2.31,-6.65,lufs,False
ChrisClone_GUI3,"Hey, can you hear me?",2,conv_7701m1h9y2twfq5aa5fqfnbf7prr,2026-09-02 14:56:25+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/ChrisClone_GUI3_hey-can-you-hear-me_take2.wav,16000,1.404,1.0,2.0,0.21,0.194,-18.15,-23.0,-4.85,-6.35,lufs,False
ChrisClone_GUI3,"Hey, can you hear me?",3,conv_2301m1h9y730fsktr5sfe8qq08f6,2026-09-02 14:56:29+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/ChrisClone_GUI3_hey-can-you-hear-me_take3.wav,16000,1.404,0.96,1.96,0.23,0.214,-22.62,-23.0,-0.38,-4.72,lufs,False
ChrisClone_GUI3,"Hey, how are you?",1,conv_1601m1h5a6tpe76ayx57h09k5ws5,2026-09-02 13:35:39+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/ChrisClone_GUI3_hey-how-are-you_take1.wav,16000,1.584,1.2,2.2,0.13,0.254,-14.91,-23.0,-8.09,-9.16,lufs,False
ChrisClone_GUI3,"Hey, how are you?",2,conv_0101m1h5acryfpwtjfc2xdwc2hk8,2026-09-02 13:35:45+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/ChrisClone_GUI3_hey-how-are-you_take2.wav,16000,1.872,1.44,2.44,0.21,0.222,-17.32,-23.0,-5.68,-9.57,lufs,False
ChrisClone_GUI3,"Hey, how are you?",3,conv_5101m1h5aj19e8grd0e53vq0phj2,2026-09-02 13:35:51+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/ChrisClone_GUI3_hey-how-are-you_take3.wav,16000,1.656,1.32,2.32,0.13,0.206,-20.68,-23.0,-2.32,-8.63,lufs,False
ChrisClone_GUI3,"Just reading the instructions, I think I'm the interviewer for this chat.",1,conv_1901m1h5x51kearbg6rt7ntx2k0x,2026-09-02 13:46:00+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/ChrisClone_GUI3_just-reading-the-instructions-i_take1.wav,16000,3.924,3.62,4.62,0.27,0.034,-29.53,-23.0,6.53,-6.11,lufs,False
ChrisClone_GUI3,"Just reading the instructions, I think I'm the interviewer for this chat.",2,conv_0801m1h5xbe5e5e9rv2eapder5s4,2026-09-02 13:46:07+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/ChrisClone_GUI3_just-reading-the-instructions-i_take2.wav,16000,4.104,3.64,4.64,0.23,0.234,-22.97,-23.0,-0.03,-4.42,lufs,False
ChrisClone_GUI3,"Just reading the instructions, I think I'm the interviewer for this chat.",3,conv_8301m1h5xhq3ebwsf37d2s01g0bg,2026-09-02 13:46:13+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli_round3/ChrisClone_GUI3_just-reading-the-instructions-i_take3.wav,16000,4.104,3.82,4.82,0.11,0.174,-24.53,-23.0,1.53,-5.09,lufs,False
TextGen_FB,"Hey, can you hear me?",1,conv_0901m1h9ysv0fb9rnwtdj4qxn9rk,2026-09-02 14:56:48+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/TextGen_FB_hey-can-you-hear-me_take1.wav,16000,1.728,1.44,2.44,0.15,0.138,-17.41,-23.0,-5.59,-6.52,lufs,False
TextGen_FB,"Hey, can you hear me?",2,conv_1401m1h9yyc1efcstp50w1cn15qb,2026-09-02 14:56:53+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/TextGen_FB_hey-can-you-hear-me_take2.wav,16000,1.692,1.42,2.42,0.15,0.122,-17.0,-23.0,-6.0,-6.38,lufs,False
TextGen_FB,"Hey, can you hear me?",3,conv_6501m1h9z258f6daqz7rvgm33gn4,2026-09-02 14:56:57+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli_round3/TextGen_FB_hey-can-you-hear-me_take3.wav,16000,1.8,1.54,2.54,0.13,0.13,-16.36,-23.0,-6.64,-7.02,lufs,False
TextGen_FB,"Hey, how are you?",1,conv_3801m1h5bcnhfc68519fcg4h6w34,2026-09-02 13:36:18+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/TextGen_FB_hey-how-are-you_take1.wav,16000,1.656,1.32,2.32,0.13,0.206,-16.45,-23.0,-6.55,-6.95,lufs,False
TextGen_FB,"Hey, how are you?",2,conv_4701m1h5bkkjf4wr2xbp47t387k1,2026-09-02 13:36:25+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/TextGen_FB_hey-how-are-you_take2.wav,16000,2.196,1.6,2.6,0.19,0.406,-16.47,-23.0,-6.53,-7.14,lufs,False
TextGen_FB,"Hey, how are you?",3,conv_2401m1h5brp6frttw14wktpa2paj,2026-09-02 13:36:30+00:00,response_audio,"Hey, how are you?",export/voice_stimuli_round3/TextGen_FB_hey-how-are-you_take3.wav,16000,1.476,1.12,2.12,0.19,0.166,-16.06,-23.0,-6.94,-8.44,lufs,False
