provider,source,voice,utterance,utterance_slug,take,conversation_id,channel,recorded_utc,track,transcript,path,sample_rate,source_rate,raw_dur_s,speech_dur_s,clip_dur_s,trimmed_lead_s,trimmed_tail_s,in_lufs,out_lufs,gain_db,out_peak_dbfs,loudness_method,peak_limited,source_file,utterance_source
ElevenLabs,elevenlabs,ChrisClone_LongNN,"Hey, how are you?",hey-how-are-you,2,conv_5901m1h599djfyfbxk7ncs9njvgf,agent,2026-09-02 13:35:09+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_ChrisClone_LongNN_hey-how-are-you_take2.wav,16000,16000,1.476,1.04,2.04,0.19,0.246,-15.6,-23.0,-7.4,-9.06,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_LongNN,"Hey, how are you?",hey-how-are-you,3,conv_7301m1h59ee6fxbrma9dqw10wn7m,agent,2026-09-02 13:35:14+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_ChrisClone_LongNN_hey-how-are-you_take3.wav,16000,16000,1.332,0.9,1.9,0.21,0.222,-15.37,-23.0,-7.63,-9.21,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_LongNN,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,1,conv_6601m1h5vz5bezsagshkww12pjq4,agent,2026-09-02 13:45:21+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_ChrisClone_LongNN_just-reading-the-instructions-i_take1.wav,16000,16000,3.96,3.38,4.38,0.31,0.27,-17.96,-23.0,-5.04,-8.1,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_LongNN,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,2,conv_3001m1h5w5vmej0afse6apzstk4p,agent,2026-09-02 13:45:28+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_ChrisClone_LongNN_just-reading-the-instructions-i_take2.wav,16000,16000,3.852,3.4,4.4,0.21,0.242,-17.54,-23.0,-5.46,-7.94,lufs,False,,
ElevenLabs,elevenlabs,ChrisClone_LongNN,"Just reading the instructions, I think I'm the interviewer for this chat.",just-reading-the-instructions-i,3,conv_6501m1h5wcezevcvaj8r4smd16nr,agent,2026-09-02 13:45:35+00:00,response_audio,"Just reading the instructions, I think I'm the interviewer for this chat.",export/voice_stimuli/ElevenLabs_ChrisClone_LongNN_just-reading-the-instructions-i_take3.wav,16000,16000,4.428,4.08,5.08,0.25,0.098,-17.11,-23.0,-5.89,-7.04,lufs,False,,
ElevenLabs,elevenlabs,George,"Hey, can you hear me?",hey-can-you-hear-me,1,conv_0001m1h9qbmhf6zatpfc82krm8jj,agent,2026-09-02 14:52:45+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_George_hey-can-you-hear-me_take1.wav,16000,16000,1.656,1.22,2.22,0.23,0.206,-24.38,-23.0,1.38,-3.72,lufs,False,,
ElevenLabs,elevenlabs,George,"Hey, can you hear me?",hey-can-you-hear-me,2,conv_0001m1h9qfzgenksm77782dbsj7z,agent,2026-09-02 14:52:49+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_George_hey-can-you-hear-me_take2.wav,16000,16000,1.224,0.92,1.92,0.19,0.114,-21.43,-23.0,-1.57,-4.52,lufs,False,,
ElevenLabs,elevenlabs,George,"Hey, can you hear me?",hey-can-you-hear-me,3,conv_9501m1h9qmfxejcs7yn15rxhc6dk,agent,2026-09-02 14:52:54+00:00,response_audio,"Hey, can you hear me?",export/voice_stimuli/ElevenLabs_George_hey-can-you-hear-me_take3.wav,16000,16000,1.188,0.8,1.8,0.17,0.218,-20.7,-23.0,-2.3,-4.82,lufs,False,,
ElevenLabs,elevenlabs,George,"Hey, how are you?",hey-how-are-you,1,conv_4001m1h4xxnceey804b06x3hbw08,agent,2026-09-02 13:28:57+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_George_hey-how-are-you_take1.wav,16000,16000,1.656,1.22,2.22,0.15,0.286,-16.91,-23.0,-6.09,-9.24,lufs,False,,
ElevenLabs,elevenlabs,George,"Hey, how are you?",hey-how-are-you,2,conv_5001m1h4y698fw2tbq6hqbt447yy,agent,2026-09-02 13:29:06+00:00,response_audio,"Hey, how are you?",export/voice_stimuli/ElevenLabs_George_hey-how-are-you_take2.wav,16000,16000,1.224,0.86,1.86,0.17,0.194,-19.38,-23.0,-3.62,-5.96,lufs,False,,
